Hospital Name,City,District,State,Country,Date,Patients,Beds,Deaths,Cancer,Tuberculosis,Accidents,Pneumonia,Covid
Australia,,,,AUS,09-01-2021,41,,,,,,,
Australia,,,,AUS,10-01-2021,45,,,,,,,
Australia,,,,AUS,11-01-2021,47,,,,,,,
Australia,,,,AUS,12-01-2021,44,,,,,,,
Australia,,,,AUS,13-01-2021,46,,,,,,,
Australia,,,,AUS,14-01-2021,51,,,,,,,
Australia,,,,AUS,15-01-2021,47,,,,,,,
Australia,,,,AUS,16-01-2021,38,,,,,,,
Australia,,,,AUS,17-01-2021,34,,,,,,,
Australia,,,,AUS,18-01-2021,32,,,,,,,
Australia,,,,AUS,19-01-2021,36,,,,,,,
Australia,,,,AUS,20-01-2021,32,,,,,,,
Australia,,,,AUS,21-01-2021,34,,,,,,,
Australia,,,,AUS,22-01-2021,32,,,,,,,
Australia,,,,AUS,23-01-2021,26,,,,,,,
Australia,,,,AUS,24-01-2021,25,,,,,,,
Australia,,,,AUS,25-01-2021,28,,,,,,,
Australia,,,,AUS,26-01-2021,21,,,,,,,
Australia,,,,AUS,27-01-2021,21,,,,,,,
Australia,,,,AUS,28-01-2021,20,,,,,,,
Australia,,,,AUS,29-01-2021,14,,,,,,,
Australia,,,,AUS,30-01-2021,14,,,,,,,
Australia,,,,AUS,31-01-2021,10,,,,,,,
Australia,,,,AUS,01-02-2021,9,,,,,,,
Australia,,,,AUS,02-02-2021,9,,,,,,,
Australia,,,,AUS,03-02-2021,10,,,,,,,
Australia,,,,AUS,04-02-2021,9,,,,,,,
Australia,,,,AUS,05-02-2021,9,,,,,,,
Australia,,,,AUS,06-02-2021,11,,,,,,,
Australia,,,,AUS,07-02-2021,10,,,,,,,
Australia,,,,AUS,08-02-2021,11,,,,,,,
Australia,,,,AUS,09-02-2021,12,,,,,,,
Australia,,,,AUS,10-02-2021,11,,,,,,,
Australia,,,,AUS,11-02-2021,12,,,,,,,
Australia,,,,AUS,12-02-2021,11,,,,,,,
Australia,,,,AUS,13-02-2021,14,,,,,,,
Australia,,,,AUS,14-02-2021,14,,,,,,,
Australia,,,,AUS,15-02-2021,12,,,,,,,
Australia,,,,AUS,16-02-2021,11,,,,,,,
Australia,,,,AUS,17-02-2021,12,,,,,,,
Australia,,,,AUS,18-02-2021,10,,,,,,,
Australia,,,,AUS,19-02-2021,10,,,,,,,
Australia,,,,AUS,20-02-2021,10,,,,,,,
Australia,,,,AUS,21-02-2021,11,,,,,,,
Australia,,,,AUS,22-02-2021,11,,,,,,,
Australia,,,,AUS,23-02-2021,12,,,,,,,
Australia,,,,AUS,24-02-2021,13,,,,,,,
Australia,,,,AUS,25-02-2021,17,,,,,,,
Australia,,,,AUS,26-02-2021,21,,,,,,,
Australia,,,,AUS,27-02-2021,19,,,,,,,
Australia,,,,AUS,28-02-2021,17,,,,,,,
Australia,,,,AUS,01-03-2021,24,,,,,,,
Australia,,,,AUS,02-03-2021,20,,,,,,,
Australia,,,,AUS,03-03-2021,27,,,,,,,
Australia,,,,AUS,04-03-2021,24,,,,,,,
Australia,,,,AUS,05-03-2021,27,,,,,,,
Australia,,,,AUS,06-03-2021,29,,,,,,,
Australia,,,,AUS,07-03-2021,29,,,,,,,
Australia,,,,AUS,08-03-2021,29,,,,,,,
Australia,,,,AUS,09-03-2021,42,,,,,,,
Australia,,,,AUS,10-03-2021,46,,,,,,,
Australia,,,,AUS,11-03-2021,44,,,,,,,
Australia,,,,AUS,12-03-2021,48,,,,,,,
Australia,,,,AUS,13-03-2021,41,,,,,,,
Australia,,,,AUS,14-03-2021,37,,,,,,,
Australia,,,,AUS,15-03-2021,43,,,,,,,
Australia,,,,AUS,16-03-2021,47,,,,,,,
Australia,,,,AUS,17-03-2021,46,,,,,,,
Australia,,,,AUS,18-03-2021,63,,,,,,,
Australia,,,,AUS,19-03-2021,64,,,,,,,
Australia,,,,AUS,20-03-2021,60,,,,,,,
Australia,,,,AUS,21-03-2021,64,,,,,,,
Australia,,,,AUS,22-03-2021,66,,,,,,,
Australia,,,,AUS,23-03-2021,72,,,,,,,
Australia,,,,AUS,24-03-2021,71,,,,,,,
Australia,,,,AUS,25-03-2021,73,,,,,,,
Australia,,,,AUS,26-03-2021,75,,,,,,,
Australia,,,,AUS,27-03-2021,77,,,,,,,
Australia,,,,AUS,28-03-2021,78,,,,,,,
Australia,,,,AUS,29-03-2021,83,,,,,,,
Australia,,,,AUS,30-03-2021,76,,,,,,,
Australia,,,,AUS,31-03-2021,87,,,,,,,
Australia,,,,AUS,01-04-2021,86,,,,,,,
Australia,,,,AUS,02-04-2021,78,,,,,,,
Australia,,,,AUS,03-04-2021,81,,,,,,,
Australia,,,,AUS,04-04-2021,84,,,,,,,
Australia,,,,AUS,05-04-2021,79,,,,,,,
Australia,,,,AUS,06-04-2021,82,,,,,,,
Australia,,,,AUS,07-04-2021,76,,,,,,,
Australia,,,,AUS,08-04-2021,76,,,,,,,
Australia,,,,AUS,09-04-2021,69,,,,,,,
Australia,,,,AUS,10-04-2021,65,,,,,,,
Australia,,,,AUS,11-04-2021,62,,,,,,,
Australia,,,,AUS,12-04-2021,63,,,,,,,
Australia,,,,AUS,13-04-2021,59,,,,,,,
Australia,,,,AUS,14-04-2021,50,,,,,,,
Australia,,,,AUS,15-04-2021,46,,,,,,,
Australia,,,,AUS,16-04-2021,44,,,,,,,
Australia,,,,AUS,17-04-2021,44,,,,,,,
Australia,,,,AUS,18-04-2021,47,,,,,,,
Australia,,,,AUS,19-04-2021,48,,,,,,,
Australia,,,,AUS,20-04-2021,47,,,,,,,
Australia,,,,AUS,21-04-2021,47,,,,,,,
Australia,,,,AUS,22-04-2021,61,,,,,,,
Australia,,,,AUS,23-04-2021,67,,,,,,,
Australia,,,,AUS,24-04-2021,68,,,,,,,
Australia,,,,AUS,25-04-2021,73,,,,,,,
Australia,,,,AUS,26-04-2021,71,,,,,,,
Australia,,,,AUS,27-04-2021,75,,,,,,,
Australia,,,,AUS,28-04-2021,69,,,,,,,
Australia,,,,AUS,29-04-2021,72,,,,,,,
Australia,,,,AUS,30-04-2021,74,,,,,,,
Australia,,,,AUS,01-05-2021,63,,,,,,,
Australia,,,,AUS,02-05-2021,57,,,,,,,
Australia,,,,AUS,03-05-2021,60,,,,,,,
Australia,,,,AUS,04-05-2021,54,,,,,,,
Australia,,,,AUS,05-05-2021,46,,,,,,,
Australia,,,,AUS,06-05-2021,38,,,,,,,
Australia,,,,AUS,07-05-2021,38,,,,,,,
Australia,,,,AUS,08-05-2021,36,,,,,,,
Australia,,,,AUS,09-05-2021,31,,,,,,,
Australia,,,,AUS,10-05-2021,29,,,,,,,
Australia,,,,AUS,11-05-2021,31,,,,,,,
Australia,,,,AUS,12-05-2021,27,,,,,,,
Australia,,,,AUS,13-05-2021,24,,,,,,,
Australia,,,,AUS,14-05-2021,23,,,,,,,
Australia,,,,AUS,15-05-2021,19,,,,,,,
Australia,,,,AUS,16-05-2021,21,,,,,,,
Australia,,,,AUS,17-05-2021,23,,,,,,,
Australia,,,,AUS,18-05-2021,23,,,,,,,
Australia,,,,AUS,19-05-2021,21,,,,,,,
Australia,,,,AUS,20-05-2021,17,,,,,,,
Australia,,,,AUS,21-05-2021,20,,,,,,,
Australia,,,,AUS,22-05-2021,17,,,,,,,
Australia,,,,AUS,23-05-2021,17,,,,,,,
Australia,,,,AUS,24-05-2021,18,,,,,,,
Australia,,,,AUS,25-05-2021,19,,,,,,,
Australia,,,,AUS,26-05-2021,17,,,,,,,
Australia,,,,AUS,27-05-2021,18,,,,,,,
Australia,,,,AUS,28-05-2021,17,,,,,,,
Australia,,,,AUS,29-05-2021,19,,,,,,,
